source_id,phot_g_mean_mag,bp_rp,parallax,h_m,j_m,ks_m,ph_qual
4184242008316977792,11.558324,1.9305315,0.17342487362325976,8.362,9.189,8.126,AAA
4184241939597502080,12.707006,1.4540977,0.5207792915731075,10.248,10.827,10.085,AAA
4184242631104962304,13.6865835,1.7394314,0.10970260977916499,10.787,11.511,10.592,AAA
4184242665464700288,13.620346,0.9047928,0.7349840954057442,12.197,12.485,12.132,AAA
4184242729874298112,13.597613,1.4909134,0.25754052359337615,11.1,11.718,10.941,AAA
4184242832950697984,11.691913,0.9701824,4.903656011075297,10.109,10.486,10.051,AAA
4184242936042670976,13.444975,1.3698454,0.21880716921712617,11.12,11.713,10.991,AAA
4184243451428804352,13.516885,0.93266106,1.2323532010064073,11.998,12.334,11.927,AAA
4184243520145465088,12.790762,1.5087881,0.43751985792267956,10.232,10.858,10.081,AAA
4184243696256891392,13.995357,1.0906134,2.211045593086768,12.2,12.608,12.127,AAA
4184243795026208384,13.161378,1.2346506,0.3330750812387898,11.043,11.549,10.961,AAA
4184243902415305344,12.204036,1.5615606,0.3916840345324839,9.488,10.224,9.364,AAA
4184244035544398208,13.952241,0.91834354,0.779306649975836,12.504,12.776,12.402,AAA
4184244074214019456,13.73843,0.876215,1.455525000286776,12.351,12.636,12.329,AAA
4184244417811408128,12.969573,1.0284824,1.27759820147719,11.302,11.624,11.217,AAA
4184244520890625920,12.536663,1.7849007,0.309353334563627,9.605,10.33,9.388,AAA
4184244520890629376,11.007055,1.3165026,0.6652828399235078,8.782,9.358,8.669,AAA
4184244825818320768,13.316842,1.3740454,0.3562605477843201,10.994,11.543,10.847,AAA
4184244898847748608,12.429322,1.4369144,0.5425162150966109,10.035,10.588,9.868,AAA
